nid,region,tmo,less,alphabet,more,day,month,year,captcha,mobile,email,manufactureDateYear,manufactureDateMonth,vehicleManufacturerName,vehicleModel,engineModel,engineNumber,chassisNumber,vehicleWeight,seatCapacity,engineDisplacement,ownershipType,vehicleType,enginePowerValue,enginePowerUnit,enginePowerRpm,typeOfOwner,firstName,lastName,nationality,citizenshipIssuingDateDay,citizenshipIssuingDateMonth,citizenshipIssuingDateYear,citizenshipIssuingDistrict,citizenshipNumber,panNumber,address,financedBy,representativeFirstName,representativeLastName,representativeNationality,representativeCitizenshipIssuingDateDay,representativeCitizenshipIssuingDateMonth,representativeCitizenshipIssuingDateYear,representativeCitizenshipIssuingDistrict,representativeCitizenshipNumber,representativePanNumber,nameOfOrganization,organizationPanNumber,representativeAddress,representativeFinancedBy,formFragment
लुम्बिनी प्रदेश-555-ख-15,ध,,52,क,1,11,11,2020,123456,9888888888,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Non Commercial,Truck,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-555-क-1001,लु,,555,क,1001,11,11,2020,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-555-क-1002,लु,,555,क,1002,11,11,2020,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-555-क-1003,लु,,555,क,1003,11,11,2020,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-555-क-1004,लु,,555,क,1004,11,11,2020,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-555-क-1005,लु,,555,क,1005,11,11,2020,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-555-क-1006,लु,,555,क,1006,11,11,2020,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-555-क-1007,लु,,555,क,1007,11,11,2020,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-555-क-1008,लु,,555,क,1008,11,11,2020,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-555-क-1009,लु,,555,क,1009,11,11,2020,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-555-क-1010,लु,,555,क,1010,11,11,2020,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-555-क-1011,लु,,555,क,1011,11,11,2020,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-555-क-1012,लु,,555,क,1012,11,11,2020,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-५५५-क-१०१३,लु,,५५५,क,१०१३,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-५५५-क-१०१४,लु,,५५५,क,१०१४,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-५५५-क-१०१५,लु,,५५५,क,१०१५,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
